timestamp,Tablet computer charger,Dish washer,Air handling unit,Fridge,HTPC,Freezer,Kettle,Lamp,Laptop computer,Stove,Television,Audio system,,,
1338534000000000000,0,205,77,0,58,0,0,210,0,0,159,0,,,
1338534900000000000,0,205,26,0,0,0,0,114,0,1214,64,0,,,
1338535800000000000,0,0,0,25,0,22,300,0,36,0,0,0,,,
1338536700000000000,0,205,0,57,58,0,0,0,36,0,64,49,,,
1338537600000000000,0,0,26,0,58,0,0,114,36,0,64,138,,,
1338538500000000000,0,0,77,25,0,46,0,114,83,0,64,0,,,
1338539400000000000,0,1316,26,57,58,46,300,0,0,289,0,138,,,
1338540300000000000,0,205,26,25,58,46,0,114,36,0,159,138,,,
1338541200000000000,0,0,0,57,58,0,0,0,83,0,64,49,,,
1338542100000000000,0,0,77,25,0,22,0,0,83,0,64,0,,,
1338543000000000000,0,0,0,25,58,46,0,0,83,0,159,0,,,
1338543900000000000,0,0,77,57,0,0,0,0,0,0,0,138,,,
1338544800000000000,0,0,0,0,0,22,0,0,0,0,0,0,,,
1338545700000000000,0,0,26,0,0,0,0,0,0,0,0,49,,,
1338546600000000000,0,0,26,25,0,0,0,0,0,0,0,0,,,
1338547500000000000,0,0,0,57,0,0,0,0,0,0,0,0,,,
1338548400000000000,0,0,0,0,0,0,0,0,0,0,0,0,,,
1338549300000000000,0,0,0,0,58,22,0,0,36,0,0,0,,,
1338550200000000000,0,0,0,0,0,22,0,0,0,0,0,0,,,
1338551100000000000,0,0,0,0,0,46,0,0,0,0,0,0,,,
1338552000000000000,0,0,26,25,0,0,0,0,0,0,0,0,,,
1338552900000000000,0,0,0,25,0,0,0,0,0,0,64,0,,,
1338553800000000000,0,0,0,0,0,0,0,0,0,0,0,0,,,
1338554700000000000,0,0,0,57,0,0,0,0,0,0,0,0,,,
1338555600000000000,0,0,0,0,58,0,0,0,0,0,0,49,,,
1338556500000000000,0,0,0,0,0,46,0,0,0,0,0,0,,,
1338557400000000000,0,0,0,0,0,46,0,0,0,0,0,0,,,
1338558300000000000,0,0,0,25,0,0,0,0,36,0,0,0,,,
1338559200000000000,0,0,26,25,0,22,0,0,0,0,0,0,,,
