timestamp	Fridge	Hair dryer	Washing machine	Computer	Freezer	
1343685600000000000	50.0	135.0	89.0	75.0	2.0	
1343685660000000000	50.0	135.0	89.0	75.0	2.0	
1343685720000000000	50.0	135.0	89.0	75.0	2.0	
1343685780000000000	50.0	135.0	89.0	75.0	2.0	
1343685840000000000	50.0	135.0	89.0	75.0	2.0	
1343685900000000000	37.0	135.0	89.0	75.0	2.0	
1343685960000000000	50.0	135.0	89.0	7.0	2.0	
1343686020000000000	50.0	135.0	89.0	7.0	2.0	
1343686080000000000	50.0	135.0	89.0	7.0	2.0	
1343686140000000000	50.0	135.0	89.0	7.0	2.0	
1343686200000000000	37.0	135.0	89.0	7.0	2.0	
1343686260000000000	50.0	135.0	89.0	7.0	33.0	
1343686320000000000	37.0	135.0	89.0	7.0	33.0	
1343686380000000000	2.0	135.0	89.0	7.0	25.0	
1343686440000000000	2.0	135.0	89.0	7.0	25.0	
1343686500000000000	2.0	135.0	89.0	7.0	2.0	
1343686560000000000	2.0	135.0	89.0	7.0	2.0	
1343686620000000000	2.0	135.0	89.0	7.0	2.0	
1343686680000000000	50.0	135.0	1.0	7.0	25.0	
1343686740000000000	50.0	135.0	1.0	7.0	25.0	
1343686800000000000	37.0	135.0	1.0	7.0	25.0	
1343686860000000000	37.0	135.0	1.0	7.0	25.0	
1343686920000000000	50.0	135.0	1.0	7.0	2.0	
1343686980000000000	50.0	135.0	1.0	7.0	2.0	
1343687040000000000	50.0	135.0	1.0	7.0	2.0	
1343687100000000000	37.0	135.0	1.0	7.0	2.0	
1343687160000000000	37.0	135.0	1.0	7.0	2.0	
1343687220000000000	37.0	135.0	1.0	7.0	2.0	
1343687280000000000	50.0	135.0	1.0	7.0	2.0	
1343687340000000000	50.0	135.0	1.0	7.0	2.0	
1343687400000000000	50.0	135.0	1.0	7.0	2.0	
1343687460000000000	50.0	135.0	1.0	7.0	2.0	
1343687520000000000	50.0	0.0	89.0	7.0	33.0	
1343687580000000000	50.0	0.0	89.0	7.0	33.0	
1343687640000000000	50.0	0.0	89.0	7.0	33.0	
1343687700000000000	50.0	0.0	89.0	7.0	25.0	
1343687760000000000	50.0	0.0	89.0	7.0	25.0	
1343687820000000000	50.0	0.0	89.0	7.0	25.0	
1343687880000000000	37.0	0.0	89.0	7.0	25.0	
1343687940000000000	37.0	0.0	89.0	7.0	25.0	
1343688000000000000	37.0	0.0	89.0	7.0	25.0	
1343688060000000000	50.0	0.0	89.0	7.0	2.0	
1343688120000000000	50.0	0.0	89.0	7.0	2.0	
1343688180000000000	50.0	0.0	89.0	7.0	2.0	
1343688240000000000	50.0	0.0	89.0	7.0	2.0	
1343688300000000000	50.0	0.0	89.0	7.0	2.0	
1343688360000000000	37.0	0.0	89.0	7.0	2.0	
1343688420000000000	37.0	0.0	89.0	7.0	2.0	
1343688480000000000	37.0	0.0	89.0	7.0	2.0	
1343688540000000000	37.0	0.0	89.0	7.0	2.0	
1343688600000000000	37.0	0.0	89.0	7.0	2.0	
1343688660000000000	37.0	0.0	89.0	7.0	2.0	
1343688720000000000	2.0	0.0	89.0	7.0	2.0	
1343688780000000000	2.0	0.0	89.0	7.0	2.0	
1343688840000000000	50.0	0.0	1.0	7.0	33.0	
1343688900000000000	50.0	0.0	1.0	7.0	33.0	
1343688960000000000	50.0	0.0	1.0	7.0	33.0	
1343689020000000000	50.0	0.0	1.0	7.0	33.0	
1343689080000000000	50.0	0.0	1.0	7.0	33.0	
1343689140000000000	50.0	0.0	1.0	7.0	33.0	
1343689200000000000	50.0	0.0	1.0	7.0	25.0	
1343689260000000000	50.0	0.0	1.0	7.0	25.0	
1343689320000000000	50.0	0.0	1.0	7.0	25.0	
1343689380000000000	50.0	0.0	1.0	7.0	25.0	
1343689440000000000	50.0	0.0	1.0	7.0	25.0	
1343689500000000000	50.0	0.0	1.0	7.0	25.0	
1343689560000000000	37.0	0.0	1.0	7.0	33.0	
1343689620000000000	37.0	0.0	1.0	7.0	33.0	
1343689680000000000	37.0	0.0	1.0	7.0	33.0	
1343689740000000000	37.0	0.0	1.0	7.0	33.0	
1343689800000000000	2.0	0.0	1.0	75.0	33.0	
1343689860000000000	2.0	0.0	1.0	75.0	33.0	
1343689920000000000	2.0	0.0	1.0	75.0	33.0	
1343689980000000000	50.0	0.0	1.0	7.0	33.0	
1343690040000000000	50.0	0.0	1.0	7.0	33.0	
1343690100000000000	50.0	0.0	1.0	7.0	33.0	
1343690160000000000	50.0	0.0	1.0	7.0	33.0	
1343690220000000000	50.0	0.0	1.0	7.0	33.0	
1343690280000000000	50.0	0.0	1.0	7.0	33.0	
1343690340000000000	50.0	0.0	1.0	7.0	33.0	
1343690400000000000	50.0	0.0	1.0	7.0	33.0	
1343690460000000000	50.0	0.0	1.0	7.0	33.0	
1343690520000000000	50.0	0.0	1.0	7.0	33.0	
1343690580000000000	50.0	0.0	1.0	7.0	33.0	
1343690640000000000	50.0	0.0	1.0	75.0	33.0	
1343690700000000000	37.0	0.0	1.0	200.0	25.0	
1343690760000000000	50.0	0.0	1.0	75.0	25.0	
1343690820000000000	50.0	0.0	1.0	75.0	25.0	
1343690880000000000	50.0	0.0	1.0	75.0	25.0	
1343690940000000000	50.0	0.0	1.0	75.0	25.0	
1343691000000000000	50.0	0.0	1.0	75.0	25.0	
1343691060000000000	50.0	0.0	1.0	75.0	25.0	
1343691120000000000	50.0	0.0	1.0	75.0	25.0	
1343691180000000000	50.0	0.0	1.0	75.0	25.0	
1343691240000000000	50.0	0.0	1.0	75.0	25.0	
1343691300000000000	50.0	0.0	1.0	75.0	2.0	
1343691360000000000	37.0	0.0	1.0	75.0	2.0	
1343691420000000000	50.0	0.0	1.0	7.0	2.0	
1343691480000000000	50.0	0.0	1.0	7.0	2.0	
1343691540000000000	50.0	0.0	1.0	7.0	25.0	
1343691600000000000	50.0	0.0	1.0	75.0	2.0	
1343691660000000000	37.0	0.0	1.0	75.0	2.0	
1343691720000000000	37.0	0.0	1.0	75.0	2.0	
1343691780000000000	37.0	0.0	1.0	75.0	2.0	
1343691840000000000	37.0	0.0	1.0	75.0	2.0	
1343691900000000000	37.0	0.0	1.0	75.0	2.0	
1343691960000000000	37.0	0.0	1.0	75.0	2.0	
1343692020000000000	37.0	0.0	1.0	75.0	2.0	
1343692080000000000	37.0	0.0	1.0	75.0	2.0	
1343692140000000000	37.0	0.0	1.0	75.0	2.0	
1343692200000000000	37.0	0.0	1.0	75.0	2.0	
1343692260000000000	37.0	0.0	1.0	75.0	2.0	
1343692320000000000	50.0	0.0	1.0	75.0	2.0	
1343692380000000000	50.0	0.0	1.0	75.0	25.0	
1343692440000000000	37.0	0.0	1.0	75.0	33.0	
1343692500000000000	37.0	0.0	1.0	75.0	33.0	
1343692560000000000	37.0	0.0	1.0	75.0	33.0	
1343692620000000000	37.0	0.0	1.0	75.0	33.0	
1343692680000000000	37.0	0.0	1.0	75.0	33.0	
1343692740000000000	37.0	0.0	1.0	75.0	33.0	
1343692800000000000	37.0	0.0	1.0	75.0	33.0	
1343692860000000000	37.0	0.0	1.0	75.0	33.0	
1343692920000000000	37.0	0.0	1.0	75.0	25.0	
1343692980000000000	37.0	0.0	1.0	75.0	25.0	
1343693040000000000	37.0	0.0	1.0	75.0	25.0	
1343693100000000000	37.0	0.0	1.0	75.0	25.0	
1343693160000000000	37.0	0.0	1.0	75.0	25.0	
1343693220000000000	37.0	0.0	1.0	75.0	25.0	
1343693280000000000	37.0	0.0	1.0	75.0	25.0	
1343693340000000000	37.0	0.0	1.0	75.0	25.0	
1343693400000000000	37.0	0.0	1.0	75.0	25.0	
1343693460000000000	37.0	0.0	1.0	75.0	25.0	
1343693520000000000	37.0	0.0	1.0	75.0	25.0	
1343693580000000000	37.0	0.0	1.0	75.0	25.0	
1343693640000000000	37.0	0.0	1.0	75.0	25.0	
1343693700000000000	37.0	0.0	1.0	75.0	25.0	
1343693760000000000	37.0	0.0	1.0	75.0	25.0	
1343693820000000000	2.0	0.0	1.0	75.0	33.0	
1343693880000000000	2.0	0.0	1.0	75.0	33.0	
1343693940000000000	2.0	0.0	1.0	75.0	33.0	
1343694000000000000	2.0	0.0	1.0	75.0	33.0	
1343694060000000000	2.0	0.0	1.0	75.0	33.0	
1343694120000000000	2.0	0.0	1.0	75.0	33.0	
1343694180000000000	50.0	0.0	1.0	7.0	25.0	
1343694240000000000	50.0	0.0	1.0	7.0	2.0	
1343694300000000000	50.0	0.0	1.0	7.0	2.0	
1343694360000000000	50.0	0.0	1.0	7.0	2.0	
1343694420000000000	50.0	0.0	1.0	7.0	2.0	
1343694480000000000	50.0	0.0	1.0	7.0	2.0	
1343694540000000000	50.0	0.0	1.0	7.0	2.0	
1343694600000000000	50.0	0.0	1.0	7.0	2.0	
1343694660000000000	50.0	0.0	1.0	7.0	2.0	
1343694720000000000	50.0	0.0	1.0	7.0	2.0	
1343694780000000000	50.0	0.0	1.0	7.0	2.0	
1343694840000000000	50.0	0.0	1.0	7.0	2.0	
1343694900000000000	50.0	0.0	1.0	7.0	33.0	
1343694960000000000	50.0	0.0	1.0	7.0	33.0	
1343695020000000000	50.0	0.0	1.0	7.0	33.0	
1343695080000000000	50.0	0.0	1.0	7.0	33.0	
1343695140000000000	50.0	0.0	1.0	7.0	33.0	
1343695200000000000	50.0	0.0	1.0	7.0	33.0	
1343695260000000000	50.0	0.0	1.0	7.0	33.0	
1343695320000000000	50.0	0.0	1.0	7.0	33.0	
1343695380000000000	50.0	0.0	1.0	7.0	33.0	
1343695440000000000	2.0	0.0	89.0	7.0	2.0	
1343695500000000000	2.0	0.0	89.0	7.0	2.0	
1343695560000000000	2.0	0.0	89.0	7.0	2.0	
1343695620000000000	2.0	0.0	89.0	7.0	2.0	
1343695680000000000	2.0	0.0	89.0	7.0	2.0	
1343695740000000000	2.0	0.0	89.0	7.0	2.0	
1343695800000000000	2.0	0.0	89.0	7.0	2.0	
1343695860000000000	2.0	0.0	89.0	7.0	2.0	
1343695920000000000	2.0	0.0	89.0	7.0	2.0	
1343695980000000000	2.0	0.0	89.0	7.0	2.0	
1343696040000000000	2.0	0.0	89.0	7.0	2.0	
1343696100000000000	2.0	0.0	89.0	7.0	2.0	
1343696160000000000	50.0	0.0	1.0	7.0	25.0	
1343696220000000000	50.0	0.0	1.0	7.0	2.0	
1343696280000000000	50.0	0.0	1.0	7.0	2.0	
1343696340000000000	50.0	0.0	1.0	7.0	2.0	
1343696400000000000	50.0	0.0	1.0	7.0	2.0	
1343696460000000000	50.0	0.0	1.0	7.0	2.0	
