,min1,min2,min3,min123,max1,max2,max3,max123,mean1,mean2,mean3,mean123,std1,std2,std3,std123,sad1,sad2,sad3,sad123,corl1,corl2,corl3,corl123,onoff1,onoff2,onoff3,onoff123,range1,range2,range3,range123,ptime,pfixed,pprob
2012-06-02 06:00:00,87.193,65.7,21.077,174.386,659.006,637.111,22.145,1318.012,112.515707778,90.9526222222,21.5630855556,225.031415556,37.3297318748,37.3266894502,0.172033704733,74.6594637495,1371.186,1299.247,173.069,2742.372,0.819412319479,0.819764347604,-0.0299052477122,0.819412319479,4.0,4.0,0.0,4.0,571.813,571.411,1.068,1143.626,1,0,1.0
2012-06-02 06:15:00,34.259,13.286,20.898,68.518,948.017,926.305,22.263,1896.034,88.8710044444,67.37499,21.4960144444,177.742008889,44.7229491439,44.707859825,0.196137062506,89.4458982879,2095.095,2005.817,207.046,4190.19,0.583753819521,0.583738656858,-0.0540136968969,0.583753819521,5.0,5.0,0.0,5.0,913.758,913.019,1.365,1827.516,2,0,1.0
2012-06-02 06:30:00,34.525,13.29,20.851,69.05,771.522,749.758,22.074,1543.044,44.9890066667,23.4957077778,21.4932988889,89.9780133333,39.9970719224,39.9832299622,0.169711226956,79.9941438448,1699.11,1623.57,177.628,3398.22,0.685378396804,0.68558710988,-0.104736982656,0.685378396804,4.0,4.0,0.0,5.0,736.997,736.468,1.223,1473.994,3,0,1.0
2012-06-02 06:45:00,34.595,13.309,20.959,69.19,1023.71,1001.89,22.046,2047.411,87.55156,66.0565755556,21.4949722222,175.103107778,51.3437159476,51.3409684929,0.174277738221,102.687208813,2197.289,2136.653,172.536,4394.56,0.637711380525,0.637928787026,0.043122299713,0.637712046205,5.0,5.0,0.0,5.0,989.115,988.581,1.087,1978.221,4,0,1.0
2012-06-02 07:00:00,87.144,65.801,20.997,174.288,668.898,647.6,22.032,1337.796,114.136194444,92.6238711111,21.5123233333,228.272388889,34.4084275541,34.4188788019,0.170340524324,68.8168551083,1381.393,1305.542,172.819,2762.786,0.807654253955,0.807604047403,0.00414342444983,0.807654253955,4.0,4.0,0.0,5.0,581.754,581.799,1.035,1163.508,5,0,1.0
2012-06-02 07:15:00,33.847,12.489,20.879,67.694,88.011,66.445,22.032,176.022,42.2854988889,20.8319544444,21.4535444444,84.5709977778,17.9252389205,17.926500216,0.183472017859,35.850477841,289.094,219.358,183.544,578.188,0.996598569554,0.996658408212,0.0435388186988,0.996598569554,1.0,1.0,0.0,1.0,54.164,53.956,1.153,108.328,6,0,1.0
2012-06-02 07:30:00,34.544,13.249,20.992,69.088,483.277,461.937,21.943,966.554,72.8688511111,51.3881222222,21.4807288889,145.737702222,32.0045333227,31.9920948582,0.170033144217,64.0090666454,806.788,723.881,183.651,1613.576,0.917063605537,0.917037741657,-0.0964090730501,0.917063605537,4.0,4.0,0.0,4.0,448.733,448.688,0.951,897.466,7,0,1.0
2012-06-02 07:45:00,33.793,12.461,20.851,67.586,693.876,671.722,22.154,1387.752,123.11515,101.641018889,21.4741311111,246.2303,58.7186798159,58.7079178204,0.170733308576,117.437359632,2457.266,2380.982,179.838,4914.532,0.854051108097,0.854175261802,-0.0756518761675,0.854051108097,6.0,6.0,0.0,7.0,660.083,659.261,1.303,1320.166,8,0,1.0
2012-06-02 08:00:00,34.321,13.23,20.893,68.642,2001.32,1979.75,22.065,4002.646,126.120553333,104.677304444,21.4432577778,252.241115556,304.632638114,304.600424182,0.16596886542,609.265330818,2990.731,2919.862,167.35,5981.485,0.984882556398,0.984880300672,-0.0445986756806,0.984882503757,14.0,14.0,0.0,15.0,1966.999,1966.52,1.172,3934.004,9,0,1.0
2012-06-02 08:15:00,130.798,109.312,21.02,261.596,2829.1,2807.24,102.799,5658.203,435.334657778,367.229187778,68.1055344444,870.66938,550.849390577,566.508627739,27.1581243468,1101.69897335,6139.119,6018.148,327.533,12278.29,0.995240817205,0.995508486569,0.998116334761,0.995240811311,13.0,11.0,2.0,42.0,2698.302,2697.928,81.779,5396.607,10,0,1.0
2012-06-02 08:30:00,189.04,107.942,80.148,378.08,1121.25,1039.68,82.189,2242.503,257.907243333,176.631755556,81.2754911111,515.81449,69.6059476213,69.4893991294,0.307717527406,139.211936633,6049.248,6032.691,203.891,12098.502,0.854957562172,0.85455749712,0.573611004425,0.854957345151,8.0,9.0,0.0,56.0,932.21,931.738,2.041,1864.423,11,0,1.0
2012-06-02 08:45:00,194.544,113.362,80.576,389.088,332.384,251.145,82.17,664.768,266.401552222,185.113668889,81.2878833333,532.803104444,50.2705518225,50.2262391716,0.221750304892,100.541103645,2219.843,2210.21,186.123,4439.686,0.992221522131,0.992267234825,0.295159926702,0.992221522131,5.0,5.0,0.0,14.0,137.84,137.783,1.594,275.68,12,0,1.0
2012-06-02 09:00:00,178.94,98.204,80.261,357.88,645.504,563.993,82.56,1291.008,229.063115556,147.666552222,81.3965633333,458.126231111,29.6273575429,29.4718448972,0.349381671182,59.2547150857,2080.006,2045.187,213.463,4160.012,0.839028822533,0.837681029998,0.585459742238,0.839028822533,3.0,3.0,0.0,13.0,466.564,465.789,2.299,933.128,13,1,1.0
2012-06-02 09:15:00,172.467,90.993,80.416,344.934,1046.02,964.143,82.156,2092.041,238.710846667,157.264545556,81.4463066667,477.421698889,62.6583646789,62.6912761122,0.232684573023,125.316801003,4552.109,4516.487,210.688,9104.22,0.809880997571,0.810276124667,0.197799175282,0.80988071173,24.0,24.0,0.0,32.0,873.553,873.15,1.74,1747.107,14,1,1.0
2012-06-02 09:30:00,236.347,154.917,80.529,472.694,1053.31,971.823,82.668,2106.621,308.924095556,227.513794444,81.4103011111,617.848191111,53.1004652391,53.1347611416,0.254084838202,106.200931004,3586.103,3567.154,178.413,7172.208,0.782216824357,0.782622073135,0.495505356004,0.782216790051,11.0,11.0,0.0,25.0,816.963,816.906,2.139,1633.927,15,1,1.0
2012-06-02 09:45:00,177.138,96.144,80.392,354.276,647.64,565.921,82.062,1295.28,227.090458889,145.708014444,81.3824444444,454.180917778,47.8717826539,47.8352352197,0.227998224683,95.7435653078,3104.574,3069.528,195.48,6209.148,0.916539945419,0.916430403345,0.234830013424,0.916539945419,10.0,9.0,0.0,21.0,470.502,469.777,1.67,941.004,16,1,1.0
2012-06-02 10:00:00,176.457,94.894,80.28,352.914,311.209,229.585,82.081,622.418,249.873014444,168.533371111,81.3396433333,499.746028889,49.1473883826,49.1408961061,0.204125488977,98.2947767652,1086.822,1057.477,188.535,2173.644,0.998295601961,0.998304176887,0.105788704152,0.998295601961,3.0,3.0,0.0,7.0,134.752,134.691,1.801,269.504,17,1,1.0
2012-06-02 10:15:00,180.487,99.356,80.694,360.974,1113.47,1031.9,82.066,2226.943,307.405965556,226.031938889,81.37403,614.811934444,96.2776120262,96.2555180541,0.194736569988,192.555251991,4926.622,4885.651,189.809,9853.25,0.90675030199,0.906788090015,0.0703271821165,0.906750160228,15.0,15.0,0.0,22.0,932.983,932.544,1.372,1865.969,18,1,1.0
2012-06-02 10:30:00,136.114,55.545,79.612,272.228,832.746,751.023,81.897,1665.492,254.409752222,173.28656,81.1231922222,508.819504444,161.144895645,160.986420866,0.348047475674,322.28979129,2388.04,2351.199,194.275,4776.08,0.995291476046,0.995292570694,0.658655427455,0.995291476046,10.0,10.0,0.0,20.0,696.632,695.478,2.285,1393.264,19,1,1.0
2012-06-02 10:45:00,132.318,51.357,80.026,264.636,822.408,741.701,81.911,1644.816,175.613527778,94.4690688889,81.1444588889,351.227055556,48.5198064248,48.522722938,0.252500741701,97.0396128497,3319.725,3273.669,205.768,6639.45,0.810619167713,0.810470934314,0.25859467267,0.810619167713,5.0,5.0,0.0,12.0,690.09,690.344,1.885,1380.18,20,1,1.0
