,,,Acc,TP,FP,TN,FN,Prec,Rec,F
r2,1,300,0.59375,0.463541666667,0.125,0.130208333333,0.28125,0.787610619469,0.622377622378,0.6953125
r2,1,600,0.458333333333,0.395833333333,0.1875,0.0625,0.354166666667,0.678571428571,0.527777777778,0.59375
r2,1,900,0.609375,0.4375,0.09375,0.171875,0.296875,0.823529411765,0.595744680851,0.691358024691
r2,1,1800,0.28125,0.28125,0.28125,0,0.4375,0.5,0.391304347826,0.439024390244
r2,1,3600,0.8125,0.625,0,0.1875,0.1875,1,0.769230769231,0.869565217391
r2,2,300,0.567708333333,0.489583333333,0.177083333333,0.078125,0.255208333333,0.734375,0.657342657343,0.693726937269
r2,2,600,0.4375,0.354166666667,0.166666666667,0.0833333333333,0.395833333333,0.68,0.472222222222,0.55737704918
r2,2,900,0.515625,0.4375,0.1875,0.078125,0.296875,0.7,0.595744680851,0.64367816092
r2,2,1800,0.40625,0.375,0.25,0.03125,0.34375,0.6,0.521739130435,0.558139534884
r2,2,3600,0.5,0.5,0.1875,0,0.3125,0.727272727273,0.615384615385,0.666666666667
r2,3,300,0.572916666667,0.5,0.182291666667,0.0729166666667,0.244791666667,0.732824427481,0.671328671329,0.700729927007
r2,3,600,0.416666666667,0.354166666667,0.1875,0.0625,0.395833333333,0.653846153846,0.472222222222,0.548387096774
r2,3,900,0.515625,0.4375,0.1875,0.078125,0.296875,0.7,0.595744680851,0.64367816092
r2,3,1800,0.375,0.375,0.28125,0,0.34375,0.571428571429,0.521739130435,0.545454545455
r2,3,3600,0.6875,0.6875,0.1875,0,0.125,0.785714285714,0.846153846154,0.814814814815
r2,4,300,0.609375,0.583333333333,0.229166666667,0.0260416666667,0.161458333333,0.717948717949,0.783216783217,0.749163879599
r2,4,600,0.65625,0.59375,0.1875,0.0625,0.15625,0.76,0.791666666667,0.775510204082
r2,4,900,0.625,0.5,0.140625,0.125,0.234375,0.780487804878,0.68085106383,0.727272727273
r2,4,1800,0.40625,0.40625,0.28125,0,0.3125,0.590909090909,0.565217391304,0.577777777778
r2,4,3600,0.8125,0.8125,0.1875,0,0,0.8125,1,0.896551724138
r2,5,300,0.666666666667,0.635416666667,0.223958333333,0.03125,0.109375,0.739393939394,0.853146853147,0.792207792208
r2,5,600,0.677083333333,0.614583333333,0.1875,0.0625,0.135416666667,0.766233766234,0.819444444444,0.791946308725
r2,5,900,0.546875,0.484375,0.203125,0.0625,0.25,0.704545454545,0.659574468085,0.681318681319
r2,5,1800,0.34375,0.34375,0.28125,0,0.375,0.55,0.478260869565,0.511627906977
r2,5,3600,0.8125,0.8125,0.1875,0,0,0.8125,1,0.896551724138
r2,10,300,0.567708333333,0.494791666667,0.182291666667,0.0729166666667,0.25,0.730769230769,0.664335664336,0.695970695971
r2,10,600,0.666666666667,0.65625,0.239583333333,0.0104166666667,0.09375,0.732558139535,0.875,0.79746835443
r2,10,900,0.53125,0.421875,0.15625,0.109375,0.3125,0.72972972973,0.574468085106,0.642857142857
r2,10,1800,0.40625,0.40625,0.28125,0,0.3125,0.590909090909,0.565217391304,0.577777777778
r2,10,3600,0.8125,0.8125,0.1875,0,0,0.8125,1,0.896551724138
r2,30,300,0.546875,0.421875,0.130208333333,0.125,0.322916666667,0.764150943396,0.566433566434,0.650602409639
r2,30,600,0.708333333333,0.65625,0.197916666667,0.0520833333333,0.09375,0.768292682927,0.875,0.818181818182
r2,30,900,0.515625,0.421875,0.171875,0.09375,0.3125,0.710526315789,0.574468085106,0.635294117647
r2,30,1800,0.5,0.46875,0.25,0.03125,0.25,0.652173913043,0.652173913043,0.652173913043
r2,30,3600,0.8125,0.8125,0.1875,0,0,0.8125,1,0.896551724138
r2,60,300,0.4375,0.34375,0.161458333333,0.09375,0.401041666667,0.680412371134,0.461538461538,0.55
r2,60,600,0.697916666667,0.677083333333,0.229166666667,0.0208333333333,0.0729166666667,0.747126436782,0.902777777778,0.817610062893
r2,60,900,0.5,0.40625,0.171875,0.09375,0.328125,0.702702702703,0.553191489362,0.619047619048
r2,60,1800,0.4375,0.4375,0.28125,0,0.28125,0.608695652174,0.608695652174,0.608695652174
r2,60,3600,0.8125,0.8125,0.1875,0,0,0.8125,1,0.896551724138
r2,300,1800,0.6875,0.6875,0.28125,0,0.03125,0.709677419355,0.95652173913,0.814814814815
r2,300,3600,0.8125,0.8125,0.1875,0,0,0.8125,1,0.896551724138
r2,600,3600,0.8125,0.8125,0.1875,0,0,0.8125,1,0.896551724138
r2,900,3600,0.8125,0.8125,0.1875,0,0,0.8125,1,0.896551724138
