,tablet computer charger,dish washer,air handling unit,fridge,htpc,freezer,kettle,lamp,laptop computer,stove,television,audio system,TABLET COMPUTER CHARGER,DISH WASHER,AIR HANDLING UNIT,FRIDGE,HTPC,FREEZER,KETTLE,LAMP,LAPTOP COMPUTER,STOVE,TELEVISION,AUDIO SYSTEM,mix
2012-07-01 00:00:00+02:00,2.0,0.0,0.0,938.0,212.0,52.0,0.0,239.0,45.0,,160.0,52.0,0,0,0,0,1,0,0,0,0,0,1,1,False
2012-07-01 00:15:00+02:00,2.0,0.0,0.0,81.0,212.0,863.0,0.0,239.0,47.0,,160.0,52.0,0,0,0,0,1,0,0,0,0,0,1,1,False
2012-07-01 00:30:00+02:00,2.0,0.0,0.0,2.0,210.0,54.0,0.0,239.0,41.0,,160.0,50.0,0,0,0,0,1,0,0,0,0,0,1,1,True
2012-07-01 00:45:00+02:00,2.0,0.0,0.0,910.0,210.0,824.0,0.0,239.0,45.0,,160.0,50.0,0,0,0,0,1,0,0,0,0,0,1,1,False
2012-07-01 01:00:00+02:00,2.0,0.0,0.0,89.0,210.0,56.0,0.0,233.0,47.0,,160.0,50.0,0,0,0,0,1,0,0,0,0,0,1,1,True
2012-07-01 01:15:00+02:00,2.0,0.0,0.0,2.0,210.0,52.0,0.0,233.0,47.0,,160.0,50.0,0,0,0,0,1,0,0,0,0,0,1,1,True
2012-07-01 01:30:00+02:00,2.0,0.0,0.0,963.0,210.0,820.0,0.0,233.0,41.0,,160.0,157.0,0,0,0,0,1,0,0,0,0,0,1,1,False
2012-07-01 01:45:00+02:00,2.0,0.0,0.0,72.0,2.0,54.0,0.0,0.0,0.0,,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,True
2012-07-01 02:00:00+02:00,2.0,0.0,2.0,925.0,2.0,906.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,True
2012-07-01 02:15:00+02:00,2.0,0.0,0.0,81.0,2.0,54.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,True
2012-07-01 02:30:00+02:00,2.0,0.0,0.0,2.0,2.0,859.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,True
2012-07-01 02:45:00+02:00,2.0,0.0,0.0,585.0,2.0,62.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,True
2012-07-01 03:00:00+02:00,2.0,0.0,0.0,75.0,2.0,54.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,True
2012-07-01 03:15:00+02:00,2.0,0.0,0.0,2.0,2.0,383.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,True
2012-07-01 03:30:00+02:00,2.0,0.0,0.0,938.0,2.0,54.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,True
2012-07-01 03:45:00+02:00,2.0,0.0,0.0,72.0,2.0,448.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,True
2012-07-01 04:00:00+02:00,2.0,4.0,2.0,927.0,2.0,54.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,True
2012-07-01 04:15:00+02:00,2.0,0.0,0.0,81.0,2.0,769.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,True
2012-07-01 04:30:00+02:00,2.0,0.0,0.0,2.0,2.0,58.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,True
2012-07-01 04:45:00+02:00,2.0,0.0,0.0,925.0,2.0,54.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,True
2012-07-01 05:00:00+02:00,2.0,0.0,0.0,77.0,2.0,912.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,True
2012-07-01 05:15:00+02:00,2.0,0.0,0.0,2.0,2.0,54.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,True
2012-07-01 05:30:00+02:00,2.0,0.0,0.0,844.0,2.0,895.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,True
2012-07-01 05:45:00+02:00,2.0,0.0,0.0,72.0,2.0,54.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,True
2012-07-01 06:00:00+02:00,2.0,0.0,0.0,919.0,2.0,713.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,True
2012-07-01 06:15:00+02:00,2.0,0.0,0.0,85.0,2.0,56.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,True
2012-07-01 06:30:00+02:00,2.0,0.0,0.0,2.0,2.0,52.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,True
2012-07-01 06:45:00+02:00,2.0,0.0,0.0,910.0,2.0,903.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,True
2012-07-01 07:00:00+02:00,2.0,0.0,0.0,77.0,2.0,54.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,True
2012-07-01 07:15:00+02:00,2.0,0.0,0.0,2.0,2.0,527.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,True
2012-07-01 07:30:00+02:00,2.0,6.0,0.0,893.0,2.0,54.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,True
2012-07-01 07:45:00+02:00,2.0,0.0,0.0,75.0,2.0,824.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,True
2012-07-01 08:00:00+02:00,2.0,0.0,0.0,2.0,2.0,56.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,True
2012-07-01 08:15:00+02:00,2.0,0.0,0.0,931.0,2.0,54.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,True
2012-07-01 08:30:00+02:00,2.0,0.0,0.0,2.0,2.0,871.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,True
2012-07-01 08:45:00+02:00,2.0,0.0,0.0,931.0,2.0,54.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,True
2012-07-01 09:00:00+02:00,2.0,0.0,0.0,81.0,2.0,856.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,True
2012-07-01 09:15:00+02:00,2.0,0.0,0.0,2.0,2.0,54.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,True
2012-07-01 09:30:00+02:00,2.0,4.0,0.0,838.0,2.0,668.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,True
2012-07-01 09:45:00+02:00,2.0,0.0,0.0,75.0,2.0,54.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,True
2012-07-01 10:00:00+02:00,2.0,0.0,0.0,2.0,2.0,886.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,True
2012-07-01 10:15:00+02:00,2.0,0.0,0.0,923.0,2.0,56.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,True
2012-07-01 10:30:00+02:00,2.0,0.0,0.0,72.0,49.0,497.0,0.0,0.0,0.0,0.0,0.0,49.0,0,0,0,0,0,0,0,0,0,0,0,0,True
2012-07-01 10:45:00+02:00,2.0,0.0,0.0,2.0,362.0,56.0,0.0,0.0,0.0,0.0,160.0,202.0,0,0,0,0,1,0,0,0,0,0,0,1,True
2012-07-01 11:00:00+02:00,2.0,0.0,2.0,929.0,212.0,871.0,0.0,0.0,0.0,0.0,160.0,52.0,0,0,0,0,1,0,0,0,0,0,0,1,False
2012-07-01 11:15:00+02:00,2.0,0.0,85.0,17.0,212.0,77.0,0.0,0.0,0.0,0.0,160.0,52.0,0,0,0,0,1,0,0,0,0,0,0,1,True
2012-07-01 11:30:00+02:00,2.0,0.0,0.0,904.0,212.0,54.0,0.0,0.0,0.0,0.0,160.0,52.0,0,0,0,0,1,0,0,0,0,0,0,1,False
2012-07-01 11:45:00+02:00,2.0,0.0,2.0,89.0,212.0,824.0,0.0,0.0,0.0,0.0,160.0,52.0,0,0,0,0,1,0,0,0,0,0,0,1,False
2012-07-01 12:00:00+02:00,2.0,0.0,0.0,2.0,212.0,54.0,0.0,0.0,0.0,0.0,160.0,52.0,0,0,0,0,1,0,0,0,0,0,0,1,True
2012-07-01 12:15:00+02:00,2.0,0.0,0.0,929.0,212.0,788.0,0.0,0.0,0.0,0.0,160.0,52.0,0,0,0,0,1,0,0,0,0,0,0,1,False
2012-07-01 12:30:00+02:00,2.0,0.0,0.0,72.0,212.0,775.0,0.0,0.0,0.0,0.0,160.0,52.0,0,0,0,0,1,0,0,0,0,0,0,1,False
2012-07-01 12:45:00+02:00,2.0,0.0,85.0,66.0,212.0,67.0,0.0,2.0,32.0,0.0,160.0,52.0,0,0,0,0,1,0,0,0,0,0,0,1,True
2012-07-01 13:00:00+02:00,2.0,0.0,85.0,2.0,212.0,762.0,0.0,2.0,39.0,0.0,160.0,52.0,0,0,0,0,1,0,0,0,0,0,0,1,False
2012-07-01 13:15:00+02:00,2.0,0.0,0.0,2.0,212.0,56.0,0.0,2.0,45.0,0.0,160.0,52.0,0,0,0,0,1,0,0,0,0,0,0,1,True
2012-07-01 13:30:00+02:00,2.0,4.0,0.0,2.0,212.0,910.0,0.0,2.0,41.0,0.0,160.0,144.0,0,0,0,0,1,0,0,0,0,0,0,1,False
2012-07-01 13:45:00+02:00,2.0,0.0,2.0,878.0,2.0,54.0,0.0,2.0,32.0,0.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,True
2012-07-01 14:00:00+02:00,2.0,0.0,0.0,72.0,2.0,861.0,0.0,2.0,45.0,0.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,True
2012-07-01 14:15:00+02:00,2.0,0.0,0.0,2.0,2.0,54.0,0.0,2.0,47.0,0.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,True
2012-07-01 14:30:00+02:00,2.0,0.0,0.0,995.0,2.0,895.0,0.0,2.0,45.0,0.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,True
2012-07-01 14:45:00+02:00,2.0,0.0,0.0,70.0,2.0,807.0,0.0,2.0,41.0,0.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,True
2012-07-01 15:00:00+02:00,2.0,0.0,0.0,940.0,2.0,54.0,0.0,2.0,41.0,0.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,True
2012-07-01 15:15:00+02:00,2.0,0.0,0.0,85.0,364.0,921.0,1898.0,2.0,41.0,0.0,160.0,204.0,0,0,0,0,1,0,0,0,0,0,0,1,False
2012-07-01 15:30:00+02:00,2.0,0.0,0.0,2.0,212.0,171.0,0.0,2.0,45.0,0.0,160.0,52.0,0,0,0,0,1,0,0,0,0,0,0,1,True
2012-07-01 15:45:00+02:00,2.0,0.0,0.0,991.0,214.0,54.0,0.0,2.0,45.0,0.0,160.0,54.0,0,0,0,0,1,0,0,0,0,0,0,1,False
2012-07-01 16:00:00+02:00,2.0,0.0,0.0,72.0,212.0,796.0,0.0,2.0,39.0,0.0,160.0,52.0,0,0,0,0,1,0,0,0,0,0,0,1,False
2012-07-01 16:15:00+02:00,2.0,0.0,0.0,2.0,212.0,876.0,0.0,2.0,41.0,0.0,160.0,52.0,0,0,0,0,1,0,0,0,0,0,0,1,False
2012-07-01 16:30:00+02:00,2.0,0.0,0.0,921.0,212.0,54.0,0.0,2.0,36.0,0.0,160.0,52.0,0,0,0,0,1,0,0,0,0,0,0,1,False
2012-07-01 16:45:00+02:00,2.0,0.0,0.0,2.0,212.0,933.0,0.0,2.0,34.0,0.0,160.0,52.0,0,0,0,0,1,0,0,0,0,0,0,1,False
2012-07-01 17:00:00+02:00,2.0,0.0,0.0,942.0,212.0,805.0,0.0,2.0,43.0,0.0,160.0,52.0,0,0,0,0,1,0,0,0,0,0,0,1,False
2012-07-01 17:15:00+02:00,2.0,0.0,0.0,79.0,212.0,54.0,0.0,2.0,43.0,0.0,160.0,52.0,0,0,0,0,1,0,0,0,0,0,0,1,True
2012-07-01 17:30:00+02:00,2.0,0.0,0.0,2.0,212.0,880.0,0.0,2.0,43.0,0.0,160.0,52.0,0,0,0,0,1,0,0,0,0,0,0,1,False
2012-07-01 17:45:00+02:00,2.0,0.0,0.0,948.0,212.0,888.0,0.0,2.0,43.0,0.0,160.0,52.0,0,0,0,0,1,0,0,0,0,0,0,1,False
2012-07-01 18:00:00+02:00,2.0,0.0,0.0,75.0,212.0,54.0,0.0,2.0,36.0,0.0,160.0,52.0,0,0,0,0,1,0,0,0,0,0,0,1,True
2012-07-01 18:15:00+02:00,2.0,0.0,0.0,2.0,212.0,807.0,0.0,2.0,43.0,0.0,160.0,52.0,0,0,0,0,1,0,0,0,0,0,0,1,False
2012-07-01 18:30:00+02:00,2.0,0.0,0.0,893.0,212.0,859.0,0.0,2.0,41.0,4110.0,160.0,52.0,0,0,0,0,1,0,0,0,0,0,0,1,False
2012-07-01 18:45:00+02:00,11.0,0.0,0.0,72.0,212.0,54.0,1906.0,2.0,36.0,4155.0,160.0,52.0,0,0,0,0,1,0,0,0,0,0,0,1,False
2012-07-01 19:00:00+02:00,11.0,2228.0,0.0,891.0,212.0,638.0,1861.0,2.0,41.0,0.0,160.0,52.0,0,0,0,0,1,0,0,0,0,0,0,1,False
2012-07-01 19:15:00+02:00,11.0,2241.0,0.0,81.0,212.0,803.0,0.0,2.0,39.0,0.0,160.0,52.0,0,0,0,0,1,0,0,0,0,0,0,1,False
2012-07-01 19:30:00+02:00,11.0,2192.0,0.0,2.0,212.0,54.0,0.0,2.0,41.0,0.0,160.0,52.0,0,0,0,0,1,0,0,0,0,0,0,1,False
2012-07-01 19:45:00+02:00,11.0,2232.0,0.0,568.0,212.0,773.0,0.0,2.0,36.0,0.0,160.0,52.0,0,0,0,0,1,0,0,0,0,0,0,1,False
2012-07-01 20:00:00+02:00,11.0,2220.0,0.0,75.0,212.0,811.0,0.0,2.0,41.0,0.0,160.0,52.0,0,0,0,0,1,0,0,0,0,0,0,1,False
