,"ElecMeterID(instance=1, building=1, dataset='FHMM')","ElecMeterID(instance=2, building=1, dataset='FHMM')","ElecMeterID(instance=3, building=1, dataset='FHMM')","ElecMeterID(instance=4, building=1, dataset='FHMM')","ElecMeterID(instance=5, building=1, dataset='FHMM')","ElecMeterID(instance=6, building=1, dataset='FHMM')","ElecMeterID(instance=7, building=1, dataset='FHMM')","ElecMeterID(instance=8, building=1, dataset='FHMM')","ElecMeterID(instance=9, building=1, dataset='FHMM')","ElecMeterID(instance=10, building=1, dataset='FHMM')","ElecMeterID(instance=11, building=1, dataset='FHMM')","ElecMeterID(instance=12, building=1, dataset='FHMM')","ElecMeterID(instance=13, building=1, dataset='FHMM')"
2015-09-01 00:00:00+02:00,72.65,0.0,30.0,0.0,25.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
2015-09-01 00:01:00+02:00,108.45,48.0,30.0,0.0,25.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
2015-09-01 00:02:00+02:00,186.891666667,0.0,30.0,88.0,25.0,35.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
2015-09-01 00:03:00+02:00,182.411363636,0.0,30.0,88.0,25.0,35.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
2015-09-01 00:04:00+02:00,175.546969697,0.0,30.0,88.0,25.0,35.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
2015-09-01 00:05:00+02:00,170.08,0.0,30.0,88.0,25.0,3.0,0.0,0.0,1.0,1.0,0.0,19.0,0.0
2015-09-01 00:06:00+02:00,162.638333333,0.0,30.0,88.0,25.0,3.0,0.0,0.0,1.0,1.0,0.0,19.0,0.0
2015-09-01 00:07:00+02:00,158.283333333,0.0,30.0,88.0,25.0,3.0,0.0,0.0,1.0,1.0,0.0,19.0,0.0
2015-09-01 00:08:00+02:00,176.236666667,0.0,30.0,88.0,2.0,35.0,0.0,0.0,1.0,1.0,0.0,19.0,0.0
2015-09-01 00:09:00+02:00,152.928333333,0.0,0.0,88.0,2.0,35.0,0.0,0.0,1.0,1.0,0.0,19.0,0.0
2015-09-01 00:10:00+02:00,150.404333333,0.0,0.0,88.0,2.0,35.0,0.0,0.0,1.0,1.0,0.0,19.0,0.0
2015-09-01 00:11:00+02:00,147.710666667,0.0,0.0,88.0,2.0,35.0,0.0,0.0,1.0,1.0,0.0,19.0,0.0
2015-09-01 00:12:00+02:00,145.415,0.0,0.0,88.0,2.0,35.0,0.0,0.0,1.0,1.0,0.0,19.0,0.0
2015-09-01 00:13:00+02:00,143.906666667,0.0,0.0,88.0,2.0,35.0,0.0,0.0,1.0,1.0,0.0,19.0,0.0
2015-09-01 00:14:00+02:00,143.801666667,0.0,0.0,88.0,2.0,35.0,0.0,0.0,1.0,1.0,0.0,19.0,0.0
2015-09-01 00:15:00+02:00,148.243,0.0,0.0,88.0,2.0,35.0,0.0,0.0,1.0,1.0,0.0,19.0,0.0
2015-09-01 00:16:00+02:00,144.997,0.0,0.0,88.0,2.0,35.0,0.0,0.0,1.0,1.0,0.0,19.0,0.0
2015-09-01 00:17:00+02:00,144.546666667,0.0,0.0,88.0,2.0,35.0,0.0,0.0,1.0,1.0,0.0,19.0,0.0
2015-09-01 00:18:00+02:00,86.6716666667,0.0,0.0,0.0,25.0,35.0,0.0,0.0,1.0,1.0,0.0,19.0,0.0
2015-09-01 00:19:00+02:00,52.5316666667,0.0,0.0,0.0,25.0,3.0,0.0,0.0,1.0,1.0,0.0,19.0,0.0
2015-09-01 00:20:00+02:00,51.2133333333,0.0,0.0,0.0,25.0,3.0,0.0,0.0,1.0,1.0,0.0,19.0,0.0
2015-09-01 00:21:00+02:00,51.0016666667,0.0,0.0,0.0,25.0,3.0,0.0,0.0,1.0,1.0,0.0,19.0,0.0
2015-09-01 00:22:00+02:00,51.165,0.0,0.0,0.0,25.0,3.0,0.0,0.0,1.0,1.0,0.0,19.0,0.0
